Date : 2020-09-25 15:59:53
Directory : /home/mathnoob/Documents/GameExchange/App and Server/GameExchange
Total : 180 files,  13012 codes, 263 comments, 816 blanks, all 14091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/chat/chat_state.dart                                 | Dart       |         23 |          0 |          8 |         31 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_bloc.dart                                | Dart       |         60 |          0 |          9 |         69 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_event.dart                               | Dart       |         18 |          0 |          7 |         25 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/login/login_state.dart                               | Dart       |         16 |          0 |          9 |         25 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_bloc.dart                            | Dart       |         81 |          0 |          8 |         89 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_event.dart                           | Dart       |         34 |          0 |          8 |         42 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/message/message_state.dart                           | Dart       |         19 |          0 |          8 |         27 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_bloc.dart                                  | Dart       |        103 |          0 |          9 |        112 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_event.dart                                 | Dart       |         26 |          0 |          8 |         34 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/post/post_state.dart                                 | Dart       |         25 |          0 |          8 |         33 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_bloc.dart                                | Dart       |         31 |          0 |          3 |         34 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_event.dart                               | Dart       |          8 |          0 |          4 |         12 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/bloc/theme/theme_state.dart                               | Dart       |         16 |          0 |          5 |         21 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/database_constants.dart                            | Dart       |         12 |          0 |          1 |         13 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/dependency_injection.dart                          | Dart       |         89 |          5 |          3 |         97 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/design_constants.dart                              | Dart       |        176 |         10 |          1 |        187 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/exception_constants.dart                           | Dart       |          8 |          0 |          1 |          9 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/game_constants.dart                                | Dart       |         85 |         19 |          3 |        107 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/message_case.dart                                  | Dart       |          4 |          0 |          1 |          5 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/screen_size_confg.dart                             | Dart       |         25 |          0 |          5 |         30 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/search_constants.dart                              | Dart       |         30 |          1 |          3 |         34 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/config/shared_data.dart                                   | Dart       |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/exception_manager.dart                         | Dart       |         35 |          0 |          3 |         38 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/arithmatic_exception.dart      | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/authentication_exception.dart  | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/connection_exception.dart      | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/exist_exception.dart           | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/not_found.dart                 | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/exceptions/type_exceptions/runtime_exception.dart         | Dart       |          7 |          0 |          3 |         10 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/main.dart                                                 | Dart       |         23 |          0 |          2 |         25 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Conversation.dart                                   | Dart       |         24 |          0 |          4 |         28 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/DataModel.dart                                      | Dart       |          3 |          0 |          1 |          4 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Post.dart                                           | Dart       |         36 |          0 |          4 |         40 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/Product.dart                                        | Dart       |         14 |          0 |          4 |         18 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/User.dart                                           | Dart       |         29 |          0 |          4 |         33 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/chatMessage.dart                                    | Dart       |         27 |          0 |          4 |         31 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/chatRoom.dart                                       | Dart       |         27 |          0 |          4 |         31 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/model/userVote.dart                                       | Dart       |         20 |          0 |          4 |         24 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/authentication.dart             | Dart       |         22 |          3 |          5 |         30 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/facebook_authenticate.dart      | Dart       |         16 |          0 |          2 |         18 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/authentication/gmail_authenticate.dart         | Dart       |         35 |          0 |          6 |         41 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/cache_manager/cache_manager.dart               | Dart       |          6 |          0 |          1 |          7 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/cache_manager/cache_manager_imp.dart           | Dart       |         25 |          0 |          8 |         33 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/chat_message_manager.dart          | Dart       |          7 |          0 |          2 |          9 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/chat_message_manager_imp.dart      | Dart       |        192 |          0 |         12 |        204 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/room_manager.dart                  | Dart       |          6 |          0 |          2 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/chatMessage/room_manager_imp.dart              | Dart       |        155 |          1 |         11 |        167 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/file_manager/file_manager.dart                 | Dart       |          5 |          0 |          3 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/file_manager/file_manager_imp.dart             | Dart       |         28 |          0 |          6 |         34 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/condition.dart                | Dart       |         13 |          0 |          3 |         16 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/database_manager.dart         | Dart       |          9 |          0 |          7 |         16 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/firebase_query.dart           | Dart       |         10 |          0 |          8 |         18 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/firebase_query_manager.dart   | Dart       |        113 |          0 |         13 |        126 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/firebase_manager/query.dart                    | Dart       |         11 |          0 |          3 |         14 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/post/post_manage_imp.dart                      | Dart       |          7 |          0 |          2 |          9 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/post/post_manager.dart                         | Dart       |        151 |          0 |         11 |        162 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/product/product_manager.dart                   | Dart       |          3 |          1 |          2 |          6 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/product/product_manager_imp.dart               | Dart       |         71 |          0 |          9 |         80 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/secure_file/secure_file.dart                   | Dart       |          5 |          0 |          1 |          6 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/secure_file/secure_file_imp.dart               | Dart       |         25 |          0 |          6 |         31 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/server/server_manager.dart                     | Dart       |         84 |          0 |         10 |         94 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/server/server_model/server_constants.dart      | Dart       |          6 |          0 |          1 |          7 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_manager.dart            | Dart       |         14 |          0 |          2 |         16 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_manager_imp.dart        | Dart       |        143 |          0 |          4 |        147 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/search/search_query.dart              | Dart       |         11 |          0 |          3 |         14 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/security/security_manager.dart        | Dart       |          4 |          0 |          1 |          5 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/security/security_manager_imp.dart    | Dart       |         21 |          0 |          3 |         24 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/userVote/userVote_manager.dart        | Dart       |          6 |          0 |          2 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/services/userVote/userVote_manager_imp.dart    | Dart       |        101 |          2 |         10 |        113 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/storge/storage_manager_imp.dart                | Dart       |          4 |          0 |          2 |          6 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/storge/storge_manager.dart                     | Dart       |         14 |          0 |          4 |         18 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/user/user_manager.dart                         | Dart       |          6 |          0 |          2 |          8 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/repository/user/user_manager_Imp.dart                     | Dart       |        109 |          0 |         11 |        120 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/add_post/add_post.dart                             | Dart       |         39 |          0 |          3 |         42 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/add_post/components/body.dart                      | Dart       |        404 |          2 |         14 |        420 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/chat_screen.dart                              | Dart       |        339 |          1 |         11 |        351 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/chat_list.dart                     | Dart       |         99 |          0 |          4 |        103 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/receive_message.dart               | Dart       |         47 |          0 |          3 |         50 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/send_message.dart                  | Dart       |         64 |          1 |          3 |         68 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/components/utility.dart                       | Dart       |         29 |          0 |          5 |         34 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/chat/home_chat.dart                                | Dart       |        155 |          1 |          9 |        165 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/body.dart                       | Dart       |        104 |          2 |          4 |        110 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/chat_and_add_to_cart.dart       | Dart       |        145 |          1 |          6 |        152 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/color_dots.dart                 | Dart       |         33 |          2 |          3 |         38 |
| /home/mathnoob/Documents/GameExchange/App and Server/GameExchange/lib/screen/details/components/list_of_colors.dart             | Dart       |         34 |          0 |          3 |         37 |
